Link,Judul,Harga,Rating,Deskripsi
https://www.airbnb.com/rooms/31363362?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=20352336-e5db-4187-89f0-fb0464776bd3,Alam Sutera Suite Studio,$33,4.91,2 guests · Studio · 1 bed · 1 bath
https://www.airbnb.com/rooms/1745132?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=20352336-e5db-4187-89f0-fb0464776bd3,Private Stay & Relax Apartment at TreePark BSD (2),$21,4.84,4 guests · 1 bedroom · 1 bed · 1 bath
https://www.airbnb.com/rooms/50843748?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=20352336-e5db-4187-89f0-fb0464776bd3,JOEY 1BR @ Casa de Parco,$39,4.89,4 guests · 1 bedroom · 1 bed · 1 bath
https://www.airbnb.com/rooms/44270338?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=20352336-e5db-4187-89f0-fb0464776bd3,emerald  Bintaro by selvy 1,$19,5.0,2 guests · Studio · 1 bath
https://www.airbnb.com/rooms/47395392?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=20352336-e5db-4187-89f0-fb0464776bd3,O-KO house #B1819 Cozy 1BR@BSD City,$22,4.72,2 guests · 1 bedroom · 1 bed · 1 bath
https://www.airbnb.com/rooms/43792675?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=20352336-e5db-4187-89f0-fb0464776bd3,Apartemen Casa De Parco | STUDIO HOOK,$26,4.66,4 guests · Studio · 2 beds · 1 bath
https://www.airbnb.com/rooms/32699855?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=20352336-e5db-4187-89f0-fb0464776bd3,Apartemen Brooklyn Alam sutra 1 BR,$37,4.89,3 guests · 1 bedroom · 0 beds · 1.5 baths
https://www.airbnb.com/rooms/17073812?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=20352336-e5db-4187-89f0-fb0464776bd3,Comfy and safe stay with Residence One,$33,4.63,4 guests · 3 bedrooms · 4 beds · 2.5 baths
https://www.airbnb.com/rooms/35653505?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=20352336-e5db-4187-89f0-fb0464776bd3,"Comfy full equipped 1 BR aprt,Brooklyn Alam Sutera",$49,4.83,2 guests · 1 bedroom · 1 bed · 1 bath
https://www.airbnb.com/rooms/34731070?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=20352336-e5db-4187-89f0-fb0464776bd3,"Spacious, Close to Mall, Comfy 3BR Apartment",$43,4.95,6 guests · 3 bedrooms · 5 beds · 1 bath
https://www.airbnb.com/rooms/41139823?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=20352336-e5db-4187-89f0-fb0464776bd3,"Villa Muri Salim, the Balinese green village",$106,4.89,5 guests · 1 bedroom · 3 beds · 1 bath
https://www.airbnb.com/rooms/36224220?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=20352336-e5db-4187-89f0-fb0464776bd3,"NEW!!! Brooklyn apartment. White&bright, fresh&new",$38,4.83,4 guests · 1 bedroom · 2 beds · 1 bath
https://www.airbnb.com/rooms/34259539?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=20352336-e5db-4187-89f0-fb0464776bd3,"PrivateLift,Lexington,2BR,2BR,88m2, Unlimited Wifi",$48,4.86,6 guests · 2 bedrooms · 2 beds · 2 baths
https://www.airbnb.com/rooms/16572795?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=20352336-e5db-4187-89f0-fb0464776bd3,Atria Residence Gading Serpong 1905 (Yours),$23,4.59,2 guests · Studio · 1 bed · 1 bath
https://www.airbnb.com/rooms/45823600?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=20352336-e5db-4187-89f0-fb0464776bd3,Studio Apartment at Bintaro Plaza,$24,4.81,2 guests · Studio · 1 bed · 1 bath
https://www.airbnb.com/rooms/37066606?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=20352336-e5db-4187-89f0-fb0464776bd3,Kasandra House,$138,4.78,7 guests · 3 bedrooms · 4 beds · 3 baths
https://www.airbnb.com/rooms/15362844?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=20352336-e5db-4187-89f0-fb0464776bd3,Cozy and Modern Apartment with Golf View,$45,4.83,4 guests · 2 bedrooms · 3 beds · 1 bath
