Link,Judul,Harga,Deskripsi
https://www.airbnb.com/rooms/52676235?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=54eb5eb5-61b2-45c0-8381-93c2437420ec,Eterniti Studio. | Brooklyn Apartment Alam Sutera,$24,2 guests · 1 bedroom · 1 bed · 1 bath
https://www.airbnb.com/rooms/52676144?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=54eb5eb5-61b2-45c0-8381-93c2437420ec,Big Studio Room and Comfy Baileys Apt,$19,2 guests · 1 bedroom · 1 bed · 1 bath
https://www.airbnb.com/rooms/1745132?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=54eb5eb5-61b2-45c0-8381-93c2437420ec,Private Stay & Relax Apartment at TreePark BSD (2),$21,4 guests · 1 bedroom · 1 bed · 1 bath
https://www.airbnb.com/rooms/35653505?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=54eb5eb5-61b2-45c0-8381-93c2437420ec,"Comfy full equipped 1 BR aprt,Brooklyn Alam Sutera",$49,2 guests · 1 bedroom · 1 bed · 1 bath
https://www.airbnb.com/rooms/36224220?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=54eb5eb5-61b2-45c0-8381-93c2437420ec,"NEW!!! Brooklyn apartment. White&bright, fresh&new",$38,4 guests · 1 bedroom · 2 beds · 1 bath
https://www.airbnb.com/rooms/49507694?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=54eb5eb5-61b2-45c0-8381-93c2437420ec,Apartemen Saveria Near Aeon Mall,$21,2 guests · 1 bedroom · 1 private bath
https://www.airbnb.com/rooms/34259539?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=54eb5eb5-61b2-45c0-8381-93c2437420ec,"PrivateLift,Lexington,2BR,2BR,88m2, Unlimited Wifi",$48,6 guests · 2 bedrooms · 2 beds · 2 baths
https://www.airbnb.com/rooms/50843748?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=54eb5eb5-61b2-45c0-8381-93c2437420ec,JOEY 1BR @ Casa de Parco,$39,4 guests · 1 bedroom · 1 bed · 1 bath
https://www.airbnb.com/rooms/35639195?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=54eb5eb5-61b2-45c0-8381-93c2437420ec,***Bougenville House BSD City***Nice Landscape,$58,7 guests · 3 bedrooms · 3 beds · 2 baths
https://www.airbnb.com/rooms/43792675?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=54eb5eb5-61b2-45c0-8381-93c2437420ec,Apartemen Casa De Parco | STUDIO HOOK,$26,4 guests · Studio · 2 beds · 1 bath
https://www.airbnb.com/rooms/15664849?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=54eb5eb5-61b2-45c0-8381-93c2437420ec,Apartment Tree Park BSD 2101,$21,3 guests · 1 bedroom · 1 bed · 1 bath
https://www.airbnb.com/rooms/29765240?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=54eb5eb5-61b2-45c0-8381-93c2437420ec,"Painter's studio, MTown Residence, tower bryant",$20,2 guests · Studio · 1 bed · 1 bath
